id,species,BI,primary,secondary,tertiary,quaternary,double bond,cyclo-ring,benzene ring,Temp,CH4,C2H4,C3H6,CO,H2,CO2,Fuel
9,cyclohexane,0.5,0,6,0,0,0,1,0,1020,0.000268707,0.00104375,9.42E-05,0.004368209,0.001023274,,0.000150514
10,n-hexane,0,2,4,0,0,0,0,0,750,0,0,0,7.38E-07,0,0,0.0025
10,n-hexane,0,2,4,0,0,0,0,0,780,0,0,0,2.62E-07,0,0,0.002535256
10,n-hexane,0,2,4,0,0,0,0,0,810,0,0,0,0,0,0,0.002113782
10,n-hexane,0,2,4,0,0,0,0,0,840,0,0,0,9.19E-07,0,0,0.002083333
10,n-hexane,0,2,4,0,0,0,0,0,870,0,8.07E-06,4.40E-06,2.62E-07,0,0,0.002171474
10,n-hexane,0,2,4,0,0,0,0,0,900,3.85E-05,0.000127747,6.49E-05,6.56E-07,0,0,0.002344551
10,n-hexane,0,2,4,0,0,0,0,0,930,0.000143619,0.000524437,0.0002375,8.82E-05,8.81E-05,0,0.001947115
10,n-hexane,0,2,4,0,0,0,0,0,960,0.000323298,0.001233771,0.000435417,0.000533071,0.000224023,5.89E-06,0.001222756
10,n-hexane,0,2,4,0,0,0,0,0,990,0.000373037,0.001411945,0.000283681,0.001724672,0.000455235,3.36E-05,0.000309295
10,n-hexane,0,2,4,0,0,0,0,0,1020,0.00021574,0.000749676,0.000116551,0.002078346,0.000403322,0.002392961,0.000142628
11,triptane,0.75,5,0,1,1,0,0,0,750,0,0,0,0,0,,0.0025
11,triptane,0.75,5,0,1,1,0,0,0,780,0,0,0,0,0,,0.002472549
11,triptane,0.75,5,0,1,1,0,0,0,810,0,0,0,0,0,,0.002285294
11,triptane,0.75,5,0,1,1,0,0,0,840,0,0,8.84E-06,0,0,,0.002305882
11,triptane,0.75,5,0,1,1,0,0,0,870,7.82E-06,0,4.46E-05,0,0,,0.002216667
11,triptane,0.75,5,0,1,1,0,0,0,900,4.49E-05,1.67E-05,0.000191304,0.000109658,7.44E-05,,0.001770588
11,triptane,0.75,5,0,1,1,0,0,0,930,0.000156463,0.000114583,0.000404348,0.000803823,0.000250544,,0.001135294
11,triptane,0.75,5,0,1,1,0,0,0,960,0.000312925,0.000308333,0.000457971,0.002067404,0.000514274,,0.000518627
11,triptane,0.75,5,0,1,1,0,0,0,990,0.000489796,0.000545833,0.000423188,0.003507042,0.000891409,,0.000195098
11,triptane,0.75,5,0,1,1,0,0,0,1020,0.000751701,0.000845833,0.000381159,0.005070423,0.001413595,,5.10E-05
12,1-hexene,0,1,3,0,0,1,0,0,750,0,0,0,0,0,,0.0025
12,1-hexene,0,1,3,0,0,1,0,0,780,0,0,0,0,0,,0.002328775
12,1-hexene,0,1,3,0,0,1,0,0,810,0,0,2.39E-06,0,0,,0.0024159
12,1-hexene,0,1,3,0,0,1,0,0,840,0,1.77E-05,1.81E-05,0,0,,0.002052275
12,1-hexene,0,1,3,0,0,1,0,0,870,1.56E-05,0.00009375,6.96E-05,4.02E-05,0,,0.00214061
12,1-hexene,0,1,3,0,0,1,0,0,900,4.69E-05,0.000279167,0.000191304,0.000146881,2.08E-05,,0.001714666
12,1-hexene,0,1,3,0,0,1,0,0,930,9.35E-05,0.000572917,0.00034058,0.000442656,5.91E-05,,0.001090271
12,1-hexene,0,1,3,0,0,1,0,0,960,0.000183673,0.000970833,0.000453623,0.001209256,0.000147689,,0.00053243
12,1-hexene,0,1,3,0,0,1,0,0,990,0.00027551,0.001235417,0.000398551,0.002389336,0.000305927,,0.000166989
12,1-hexene,0,1,3,0,0,1,0,0,1020,0.000418367,0.00150625,0.000301449,0.003940644,0.000588119,,3.75E-05
13,"2,2,4-trimethyl-2-pentene",0.6,5,0,0,1,1,0,0,750,0,0,0,0,0,,0.0025
13,"2,2,4-trimethyl-2-pentene",0.6,5,0,0,1,1,0,0,780,0,0,0,0,0,,0.002373542
13,"2,2,4-trimethyl-2-pentene",0.6,5,0,0,1,1,0,0,810,8.16E-06,0,1.77E-05,2.79E-05,0,,0.002115365
13,"2,2,4-trimethyl-2-pentene",0.6,5,0,0,1,1,0,0,840,3.54E-05,8.33E-06,8.12E-05,0.000133803,0,,0.001875981
13,"2,2,4-trimethyl-2-pentene",0.6,5,0,0,1,1,0,0,870,9.18E-05,3.79E-05,0.000181159,0.000465795,4.59E-05,,0.001204186
13,"2,2,4-trimethyl-2-pentene",0.6,5,0,0,1,1,0,0,900,0.000248299,0.000141667,0.000311594,0.001552314,0.00013714,,0.000720908
13,"2,2,4-trimethyl-2-pentene",0.6,5,0,0,1,1,0,0,930,0.00044898,0.0003,0.00032029,0.002799799,0.000271642,,0.00032909
13,"2,2,4-trimethyl-2-pentene",0.6,5,0,0,1,1,0,0,960,0.000632653,0.000472917,0.00026087,0.003821932,0.000408782,,0.000106996
13,"2,2,4-trimethyl-2-pentene",0.6,5,0,0,1,1,0,0,990,0.000755102,0.000627083,0.000201449,0.004586519,0.000614492,,1.61E-05
14,toluene,1,1,0,0,0,0,0,1,750,0,0,0,0,0,,0.0025
14,toluene,1,1,0,0,0,0,0,1,780,0,0,0,0,0,,0.002518561
14,toluene,1,1,0,0,0,0,0,1,810,0,0,0,0,0,,0.002230154
14,toluene,1,1,0,0,0,0,0,1,840,0,0,0,0,0,,0.002268228
14,toluene,1,1,0,0,0,0,0,1,870,0,0,0,0,0,,0.002262517
14,toluene,1,1,0,0,0,0,0,1,900,0,0,0,0,0,,0.002246335
14,toluene,1,1,0,0,0,0,0,1,930,0,0,0,0,0,,0.002263468
14,toluene,1,1,0,0,0,0,0,1,960,0,0,0,0,0,,0.002209214
14,toluene,1,1,0,0,0,0,0,1,990,0,0,0,0,0,,0.00204169
14,toluene,1,1,0,0,0,0,0,1,1020,0,0,0,9.36E-05,0,,0.002112126
14,toluene,1,1,0,0,0,0,0,1,1050,1.50E-05,0,0,0.000464789,7.44E-05,,0.001782791
14,toluene,1,1,0,0,0,0,0,1,1080,5.78E-05,4.08E-05,0,0.002131791,0.000279554,,0.001121264
14,toluene,1,1,0,0,0,0,0,1,1110,0.000132653,0.00009375,0,0.005782696,0.000683062,,0.00037312
14,toluene,1,1,0,0,0,0,0,1,1140,0.000193878,0.000096875,0,0.007074447,0.000846575,,0.000319817
15,Heptane,0,2,5,0,0,0,0,0,780,0,0,0,3.67E-06,0,0,0.0025
15,Heptane,0,2,5,0,0,0,0,0,810,0,0,0,0,0,0,0.002538687
15,Heptane,0,2,5,0,0,0,0,0,840,0,5.55E-06,0,3.54E-06,0,0,0.002358606
